Unnamed: 0,college_name,location,course_fees,review,rank,Average Package,Highest Package,Cutoff rank in CSE
1955,"Dr GU Pope College of Engineering, Thoothukudi","Thoothukudi, Tamil Nadu","₹ 50,000",6.6 / 10,,,800000,160859
1956,"G.V. Acharya Institute of Engineering and Technology - [GVAIET], Mumbai","Mumbai, Maharashtra","₹ 73,400",06-Oct,,150000,900000,189581
1957,"JSPM's Imperial College of Engineering and Research - [ICOER], Pune","Pune, Maharashtra","₹ 1,06,000",08-Oct,,,1000000,121729
1958,"Institute of Jute Technology - [IJT], Kolkata","Kolkata, West Bengal","₹ 13,500",7.8 / 10,,250000,1970000,136851
1959,"KMCT College of Engineering for Women Manassery, Kozhikode","Kozhikode, Kerala","₹ 60,000",05-Oct,,,2410000,73734
1960,"Lokmanya Tilak College of Engineering - [LTCE], Navi Mumbai","Navi Mumbai, Maharashtra","₹ 1,25,000",6.8 / 10,,200000,500000,35067
1961,"Mar Baselios College of Engineering and Technology - [MBCET] Nalanchira, Thiruvananthapuram","Thiruvananthapuram, Kerala","₹ 1,97,000",7.8 / 10,#203th/216  in India   2022,420000,800000,103955
1962,"Marathwada Institute of Technology - [MIT], Bulandshahr","Bulandshahr, Uttar Pradesh","₹ 66,000",7.4 / 10,#125th/160  in India   2022,,1200000,131852
1963,"Millennium Institute of Technology - [MIT], Saharanpur","Saharanpur, Uttar Pradesh",--,,,350000,800000,67716
1964,"Mina Institute of Engineering and Technology for Women, Nalgonda","Nalgonda, Telangana","₹ 50,000",,,,3180000,195957
1965,"NM Institute of Engineering and Technology - [NMIET], Bhubaneswar","Bhubaneswar, Orissa","₹ 72,000",6.7 / 10,,,1000000,52145
1966,"Nimra Institute of Engineering and Technology - [NIET], Prakasam","Prakasam, Andhra Pradesh","₹ 35,000",8.9 / 10,,625000,2100000,106104
1967,"Orion Institute of Management and Technology - [OIMT], Vadodara","Vadodara, Gujarat",--,,,550000,1200000,46467
1968,"Phaltan Education Society's College of Engineering - [PESCOE], Satara","Satara, Maharashtra","₹ 65,000",9.5 / 10,,,2700000,167410
1969,"Prof Ram Meghe College of Engineering and Management - [PRMCEAM], Amravati","Amravati, Maharashtra","₹ 98,500",7.1 / 10,,166000,750000,25989
1970,"Shri Shankarprasad Agnihotri College of Engineering - [SSPACE], Wardha","Wardha, Maharashtra","₹ 83,000",3.7 / 10,,480000,6000000,75177
1971,"Shri Ram Institute of Science and Technology - [SRIST], Jabalpur","Jabalpur, Madhya Pradesh","₹ 48,000",5.2 / 10,,,1000000,118905
1972,"Sri Venkateswara College of Engineering & Technology - [SVCET], Thiruvallur","Thiruvallur, Tamil Nadu","₹ 38,090",07-Oct,,625000,2340000,108649
1973,"Sri Venkateswara College of Engineering and Technology - [SVCET], Srikakulam","Srikakulam, Andhra Pradesh","₹ 35,000",6.7 / 10,,,1200000,7168
1974,"Srinivasa Institute of Engineering and Technology - [SIET], East Godavari","East Godavari, Andhra Pradesh","₹ 43,000",7.3 / 10,,430000,2300000,172286
1975,"Sumathi Reddy Institute of Technology for Women - [SRITW], Warangal","Warangal, Telangana","₹ 65,000",7.7 / 10,,350000,1900000,74419
1976,"UPL University of Sustainable Technology, Bharuch","Bharuch, Gujarat","₹ 99,000",8.4 / 10,,,2370000,3567
1977,"Ganga Institute of Technology and Management - [GITAM] Kablana, Jhajjar","Jhajjar, Haryana","₹ 78,000",8.7 / 10,#62th/170  in India   2023,450000,1950000,74042
1978,"Kankeshwari Devi Institute of Technology - [KIT], Jamnagar","Jamnagar, Gujarat","₹ 50,000",8.1 / 10,,432000,1537000,68772
1979,"Satya Institute of Technology and Management - [SITAM], Vizianagaram","Vizianagaram, Andhra Pradesh","₹ 58,500",8.3 / 10,,,2640000,35187
1980,"Dr. D. Y. Patil Institute of Engineering, Management & Research - [DYPIEMR] Akurdi, Pune","Pune, Maharashtra","₹ 1,03,292",7.7 / 10,#105th/150  in India   2019,500000,1650000,11229
1981,"Radhaswami Institute of Technology -[RSIT], Jabalpur","Jabalpur, Madhya Pradesh","₹ 46,600",4.6 / 10,,100000,300000,124961
1982,"Om Institute of Technology, Panchmahal","Panchmahal, Gujarat","₹ 41,000",6.5 / 10,,800000,,133035
1983,"North Maharashtra University Institute of Chemical Technology - [UICT], Jalgaon","Jalgaon, Maharashtra","₹ 25,100",08-Oct,#82th/170  in India   2023,,600000,107832
1984,"Jawahar Education Society's Institute of Technology Management & Research [JIT], Nashik","Nashik, Maharashtra","₹ 66,497",7.5 / 10,,200000,700000,23275
