Unnamed: 0,college_name,location,course_fees,review,Average Package,Highest Package,Cutoff rank in CSE
438,"Aalim Muhammed Salegh College of Engineering - [AALIMEC], Chennai","Chennai, Tamil Nadu",55000,7.9,250000,500000,160690
439,"Accurate Institute of Management and Technology - [AIMT], Greater Noida","Greater Noida, Uttar Pradesh",122950,7.3,550000,1080000,173617
440,"Asians Institute of Technology, Jaipur","Jaipur, Rajasthan",146800,7.2,541800,2700000,107756
441,"Bhoj Reddy Engineering College for Women, Hyderabad","Hyderabad, Telangana",75000,8.5,350000,3300000,112620
442,"Budge Budge Institute of Technology - [BBIT], Kolkata","Kolkata, West Bengal",114650,7.8,240000,2035000,113738
443,"Calcutta Institute of Technology - [CIT], Howrah","Howrah, West Bengal",86500,7.7,300000,900000,131234
444,"Camellia Institute of Technology - [CIT], Kolkata","Kolkata, West Bengal",101500,7.9,541800,3350000,150065
445,"City Engineering College - [CEC], Bangalore","Bangalore, Karnataka",117000,6.4,541800,2417680,41973
446,"Dream Institute of Technology, Kolkata","Kolkata, West Bengal",112000,7.453557199772339,224920,380000,75578
447,"Gandhi Institute for Technology - [GIFT], Bhubaneswar","Bhubaneswar, Orissa",81000,7.7,220000,416000,82398
448,"Government College of Engineering and Technology - [GCET], Jammu","Jammu, Jammu and Kashmir",42920,5.8,400000,3500000,117686
449,"Jaya Engineering College - [JEC], Chennai","Chennai, Tamil Nadu",55000,6.5,541800,2300000,52573
450,"KLN College of Engineering - [KLNCE], Sivaganga","Sivaganga, Tamil Nadu",60000,7.5,541800,4500000,36163
451,"Kamaraj College of Engineering and Technology - [KCET], Virudhunagar","Virudhunagar, Tamil Nadu",77000,7.8,204609,460000,193872
452,"MCKV Institute of Engineering - [MCKVIE], Kolkata","Kolkata, West Bengal",400000,7.2,541800,2400000,163517
453,"Mahakal Institute of Technology - [MIT], Ujjain","Ujjain, Madhya Pradesh",57000,8.2,300000,1200000,71793
454,"Mangalam College of Engineering Ettumanoor - [MLM], Kottayam","Kottayam, Kerala",75000,7.453557199772339,541800,1849000,106766
455,"Moradabad Institute of Technology - [MIT], Moradabad","Moradabad, Uttar Pradesh",114575,6.7,394000,1000000,8130
456,"Muffakham Jah College of Engineering & Technology - [MJCET], Hyderabad","Hyderabad, Telangana",110000,7.453557199772339,541800,3700000,150510
457,"Madha Engineering College, Chennai","Chennai, Tamil Nadu",0,7.6,480000,2200000,8111
458,"Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE], Vizianagaram","Vizianagaram, Andhra Pradesh",67700,8.4,500000,2800000,176276
459,"Manav Rachna University - [MRU], Faridabad","Faridabad, Haryana",274500,7.4,380000,1200000,89254
460,"Mar Athanasius College of Engineering - [MACE], Kothamangalam","Kothamangalam, Kerala",8225,8.4,541800,3700000,76685
461,"Orissa Engineering College - [OEC], Bhubaneswar","Bhubaneswar, Orissa",86500,7.5,360000,2600000,33827
462,"RD Engineering College, Ghaziabad","Ghaziabad, Uttar Pradesh",182500,6.7,1038333,1800000,178662
463,"Sri Indu Institute of Engineering & Technology - [SIIET], Hyderabad","Hyderabad, Telangana",93000,7.5,541800,1000000,121778
464,"Rajalakshmi Institute of Technology - [RIT], Chennai","Chennai, Tamil Nadu",85000,7.1,550000,1600000,10633
